#options: 1280x720 fps=25/1 timebase=1/25 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=0.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1000 ratetol=1.0 qcomp=0.60 qpmin=10 qpmax=51 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:91 out:88 type:P dur:2 cpbdur:2 q:30.73 tex:103973 mv:19080 misc:2243 imb:658 pmb:1526 smb:1416 d:- ref:0 ;
in:89 out:89 type:B dur:2 cpbdur:2 q:30.84 tex:28587 mv:13995 misc:1578 imb:271 pmb:812 smb:2517 d:- ref:0 ;
in:88 out:90 type:b dur:2 cpbdur:2 q:30.89 tex:18969 mv:12252 misc:1203 imb:298 pmb:628 smb:2674 d:- ref:0 ;
in:90 out:91 type:b dur:2 cpbdur:2 q:30.78 tex:144 mv:374 misc:770 imb:0 pmb:144 smb:3456 d:- ref:0 ;
in:95 out:92 type:P dur:2 cpbdur:2 q:30.93 tex:92055 mv:17686 misc:2227 imb:373 pmb:1636 smb:1591 d:- ref:0 ;
in:93 out:93 type:B dur:2 cpbdur:2 q:30.83 tex:6018 mv:6665 misc:1757 imb:20 pmb:630 smb:2950 d:- ref:0 ;
in:92 out:94 type:b dur:2 cpbdur:2 q:30.78 tex:7807 mv:7499 misc:1462 imb:52 pmb:559 smb:2989 d:- ref:0 ;
in:94 out:95 type:b dur:2 cpbdur:2 q:30.88 tex:177 mv:499 misc:1076 imb:0 pmb:212 smb:3388 d:- ref:0 ;
in:99 out:96 type:P dur:2 cpbdur:2 q:30.87 tex:95492 mv:16326 misc:2262 imb:220 pmb:1710 smb:1670 d:- ref:0 ;
in:97 out:97 type:B dur:2 cpbdur:2 q:30.90 tex:5710 mv:6957 misc:1733 imb:7 pmb:573 smb:3020 d:- ref:0 ;
in:96 out:98 type:b dur:2 cpbdur:2 q:30.91 tex:2088 mv:3556 misc:1252 imb:4 pmb:303 smb:3293 d:- ref:0 ;
in:98 out:99 type:b dur:2 cpbdur:2 q:30.88 tex:1607 mv:3215 misc:1162 imb:1 pmb:267 smb:3332 d:- ref:0 ;
in:103 out:100 type:P dur:2 cpbdur:2 q:30.79 tex:59617 mv:12530 misc:2637 imb:79 pmb:1690 smb:1831 d:- ref:0 ;
in:101 out:101 type:B dur:2 cpbdur:2 q:30.83 tex:1132 mv:3065 misc:1275 imb:0 pmb:293 smb:3307 d:- ref:0 ;
in:100 out:102 type:b dur:2 cpbdur:2 q:30.85 tex:128 mv:364 misc:876 imb:0 pmb:152 smb:3448 d:- ref:0 ;
in:102 out:103 type:b dur:2 cpbdur:2 q:30.81 tex:765 mv:1715 misc:952 imb:0 pmb:179 smb:3421 d:- ref:0 ;
in:107 out:104 type:P dur:2 cpbdur:2 q:30.48 tex:92965 mv:16428 misc:2759 imb:176 pmb:2522 smb:902 d:- ref:0 ;
in:105 out:105 type:B dur:2 cpbdur:2 q:30.63 tex:6442 mv:4720 misc:1574 imb:8 pmb:464 smb:3128 d:- ref:0 ;
in:104 out:106 type:b dur:2 cpbdur:2 q:30.71 tex:149 mv:500 misc:983 imb:0 pmb:178 smb:3422 d:- ref:0 ;
in:106 out:107 type:b dur:2 cpbdur:2 q:30.55 tex:1185 mv:2052 misc:947 imb:2 pmb:204 smb:3394 d:- ref:0 ;
in:111 out:108 type:P dur:2 cpbdur:2 q:30.36 tex:56207 mv:11989 misc:3228 imb:88 pmb:1885 smb:1627 d:- ref:0 ;
in:109 out:109 type:B dur:2 cpbdur:2 q:30.42 tex:6603 mv:4368 misc:1533 imb:4 pmb:473 smb:3123 d:- ref:0 ;
in:108 out:110 type:b dur:2 cpbdur:2 q:30.45 tex:1460 mv:1643 misc:721 imb:3 pmb:151 smb:3446 d:- ref:0 ;
in:110 out:111 type:b dur:2 cpbdur:2 q:30.39 tex:138 mv:311 misc:719 imb:0 pmb:114 smb:3486 d:- ref:0 ;
in:115 out:112 type:P dur:2 cpbdur:2 q:30.07 tex:64654 mv:13435 misc:3199 imb:147 pmb:1877 smb:1576 d:- ref:0 ;
in:113 out:113 type:B dur:2 cpbdur:2 q:30.21 tex:3522 mv:2946 misc:1332 imb:7 pmb:337 smb:3256 d:- ref:0 ;
in:112 out:114 type:b dur:2 cpbdur:2 q:30.29 tex:1745 mv:1770 misc:845 imb:2 pmb:189 smb:3409 d:- ref:0 ;
in:114 out:115 type:b dur:2 cpbdur:2 q:30.14 tex:109 mv:237 misc:678 imb:0 pmb:107 smb:3493 d:- ref:0 ;
in:119 out:116 type:P dur:2 cpbdur:2 q:29.81 tex:72982 mv:12759 misc:2875 imb:202 pmb:1542 smb:1856 d:- ref:0 ;
in:117 out:117 type:B dur:2 cpbdur:2 q:29.94 tex:9566 mv:5873 misc:1257 imb:44 pmb:450 smb:3106 d:- ref:0 ;
in:116 out:118 type:b dur:2 cpbdur:2 q:30.01 tex:3838 mv:3383 misc:963 imb:18 pmb:298 smb:3284 d:- ref:0 ;
in:118 out:119 type:b dur:2 cpbdur:2 q:29.88 tex:2543 mv:3022 misc:979 imb:10 pmb:254 smb:3336 d:- ref:0 ;
in:123 out:120 type:P dur:2 cpbdur:2 q:29.66 tex:76164 mv:15320 misc:2276 imb:783 pmb:1008 smb:1809 d:- ref:0 ;
in:121 out:121 type:B dur:2 cpbdur:2 q:29.73 tex:4642 mv:4759 misc:1599 imb:27 pmb:442 smb:3131 d:- ref:0 ;
in:120 out:122 type:b dur:2 cpbdur:2 q:29.77 tex:122 mv:267 misc:747 imb:1 pmb:130 smb:3469 d:- ref:0 ;
